"","x"
"1",0
"2",1e-06
"3",1.5e-05
"4",4.7e-05
"5",0.000118
"6",0.000286
"7",0.000594
"8",0.001079
"9",0.00187
"10",0.002968
"11",0.004629
"12",0.006802
"13",0.009685
"14",0.013372
"15",0.017906
"16",0.023231
"17",0.029737
"18",0.037363
"19",0.046068
"20",0.055915
"21",0.06709
"22",0.079054
"23",0.092434
"24",0.107018
"25",0.122816
"26",0.139799
"27",0.157563
"28",0.176343
"29",0.196087
"30",0.216622
"31",0.237808
"32",0.259753
"33",0.281894
"34",0.304545
"35",0.32752
"36",0.351035
"37",0.374294
"38",0.397767
"39",0.421445
"40",0.444832
"41",0.467972
"42",0.490731
"43",0.513259
"44",0.535315
"45",0.557126
"46",0.578312
"47",0.599113
"48",0.619095
"49",0.638809
"50",0.657919
"51",0.676204
"52",0.693975
"53",0.710888
"54",0.727347
"55",0.742911
"56",0.757982
"57",0.772571
"58",0.786273
"59",0.799363
"60",0.811791
"61",0.823549
"62",0.834773
"63",0.845498
"64",0.855549
"65",0.865198
"66",0.874156
"67",0.882547
"68",0.89066
"69",0.898252
"70",0.905433
"71",0.912104
"72",0.918537
"73",0.924358
"74",0.929898
"75",0.935058
"76",0.939841
"77",0.944288
"78",0.948475
"79",0.952283
"80",0.955922
"81",0.959311
"82",0.962498
"83",0.965393
"84",0.968093
"85",0.97065
"86",0.973017
"87",0.97523
"88",0.977204
"89",0.97905
"90",0.980792
"91",0.982404
"92",0.983872
"93",0.985199
"94",0.986409
"95",0.987501
"96",0.988547
"97",0.989521
"98",0.990349
"99",0.991157
"100",0.991907
"101",0.992587
"102",0.993218
"103",0.993791
"104",0.99431
"105",0.994796
"106",0.995258
"107",0.995686
"108",0.996065
"109",0.996417
"110",0.996732
"111",0.99704
"112",0.997321
"113",0.997587
"114",0.997808
"115",0.998
"116",0.998182
"117",0.998348
"118",0.998489
"119",0.998623
"120",0.998748
"121",0.998846
"122",0.998946
"123",0.999047
"124",0.999141
"125",0.999223
"126",0.99929
"127",0.999368
"128",0.999418
"129",0.999478
"130",0.999528
"131",0.999581
"132",0.999618
"133",0.999652
"134",0.99969
"135",0.999706
"136",0.999729
"137",0.999755
"138",0.999779
"139",0.999798
"140",0.999815
"141",0.999829
"142",0.99985
"143",0.999865
"144",0.999881
"145",0.999894
"146",0.999897
"147",0.999904
"148",0.999909
"149",0.99992
"150",0.999925
"151",0.99993
"152",0.99994
"153",0.999947
"154",0.999952
"155",0.999955
"156",0.99996
"157",0.999968
"158",0.99997
"159",0.999974
"160",0.999977
"161",0.999978
"162",0.999978
"163",0.99998
"164",0.999982
"165",0.999984
"166",0.999984
"167",0.999987
"168",0.999988
"169",0.999992
"170",0.999993
"171",0.999993
"172",0.999995
"173",0.999996
"174",0.999999
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
