"","Country","schools_universities","self_isolating_if_ill","public_events","lockdown","social_distancing_encouraged"
"1","Austria",2020-03-14,2020-03-16,2020-03-10,2020-03-16,2020-03-16
"2","Belgium",2020-03-14,2020-03-10,2020-03-12,2020-03-18,2020-03-14
"3","Denmark",2020-03-13,2020-03-12,2020-03-12,2020-03-18,2020-03-13
"4","France",2020-03-14,2020-03-16,2020-03-13,2020-03-17,2020-03-16
"5","Germany",2020-03-14,2020-03-06,2020-03-22,2020-03-22,2020-03-12
"6","Italy",2020-03-05,2020-03-09,2020-03-09,2020-03-11,2020-03-09
"7","Norway",2020-03-13,2020-03-15,2020-03-12,2020-03-24,2020-03-16
"8","Spain",2020-03-13,2020-03-14,2020-03-14,2020-03-14,2020-03-09
"9","Sweden",2090-03-17,2020-03-10,2020-03-29,2090-03-17,2020-03-16
"10","Switzerland",2020-03-14,2020-03-02,2020-03-13,2020-03-20,2020-03-16
"11","United_Kingdom",2020-03-21,2020-03-12,2020-03-24,2020-03-24,2020-03-16
