,alpha,l1_ratio,tol,Average error,Pearson R
0,0.8,0.25,0.001,17.43,0.44
1,0.8,0.25,0.0001,17.43,0.44
2,0.8,0.5,0.001,17.43,0.44
3,0.8,0.5,0.0001,17.43,0.44
4,0.8,0.75,0.001,17.46,0.44
5,0.8,0.75,0.0001,17.46,0.44
6,1.0,0.25,0.001,17.42,0.44
7,1.0,0.25,0.0001,17.42,0.44
8,1.0,0.5,0.001,17.44,0.44
9,1.0,0.5,0.0001,17.44,0.44
10,1.0,0.75,0.001,17.45,0.44
11,1.0,0.75,0.0001,17.45,0.44
12,0.8,0.25,0.001,17.33,0.45
13,0.8,0.25,0.0001,17.33,0.45
14,0.8,0.5,0.001,17.34,0.45
15,0.8,0.5,0.0001,17.34,0.45
16,0.8,0.75,0.001,17.36,0.44
17,0.8,0.75,0.0001,17.36,0.44
18,1.0,0.25,0.001,17.34,0.44
19,1.0,0.25,0.0001,17.34,0.44
20,1.0,0.5,0.001,17.35,0.44
21,1.0,0.5,0.0001,17.35,0.44
22,1.0,0.75,0.001,17.37,0.44
23,1.0,0.75,0.0001,17.37,0.44
24,0.8,0.25,0.001,16.09,0.51
25,0.8,0.25,0.0001,16.09,0.51
26,0.8,0.5,0.001,16.07,0.51
27,0.8,0.5,0.0001,16.07,0.51
28,0.8,0.75,0.001,16.06,0.51
29,0.8,0.75,0.0001,16.06,0.51
30,1.0,0.25,0.001,16.09,0.51
31,1.0,0.25,0.0001,16.09,0.51
32,1.0,0.5,0.001,16.07,0.51
33,1.0,0.5,0.0001,16.07,0.51
34,1.0,0.75,0.001,16.08,0.51
35,1.0,0.75,0.0001,16.08,0.51
36,0.8,0.25,0.001,17.1,0.6
37,0.8,0.25,0.0001,17.1,0.6
38,0.8,0.5,0.001,17.1,0.6
39,0.8,0.5,0.0001,17.1,0.6
40,0.8,0.75,0.001,17.12,0.6
41,0.8,0.75,0.0001,17.12,0.6
42,1.0,0.25,0.001,17.11,0.6
43,1.0,0.25,0.0001,17.11,0.6
44,1.0,0.5,0.001,17.12,0.6
45,1.0,0.5,0.0001,17.12,0.6
46,1.0,0.75,0.001,17.13,0.6
47,1.0,0.75,0.0001,17.13,0.6
48,0.8,0.25,0.001,15.43,0.63
49,0.8,0.25,0.0001,15.43,0.63
50,0.8,0.5,0.001,15.45,0.63
51,0.8,0.5,0.0001,15.45,0.63
52,0.8,0.75,0.001,15.46,0.63
53,0.8,0.75,0.0001,15.46,0.63
54,1.0,0.25,0.001,15.44,0.63
55,1.0,0.25,0.0001,15.44,0.63
56,1.0,0.5,0.001,15.45,0.63
57,1.0,0.5,0.0001,15.45,0.63
58,1.0,0.75,0.001,15.46,0.63
59,1.0,0.75,0.0001,15.46,0.63
