,n_estimators,min_samples_split,min_samples_leaf,Average error,Pearson R
0,50,2,1,16.58,0.58
1,50,2,2,16.32,0.59
2,50,5,1,16.14,0.62
3,50,5,2,16.61,0.59
4,100,2,1,16.52,0.59
5,100,2,2,16.21,0.61
6,100,5,1,16.46,0.6
7,100,5,2,16.15,0.6
8,200,2,1,16.46,0.6
9,200,2,2,16.11,0.61
10,200,5,1,16.4,0.59
11,200,5,2,16.1,0.61
12,50,2,1,16.32,0.64
13,50,2,2,16.46,0.61
14,50,5,1,16.36,0.63
15,50,5,2,16.6,0.62
16,100,2,1,16.56,0.63
17,100,2,2,16.12,0.64
18,100,5,1,16.75,0.62
19,100,5,2,16.12,0.64
20,200,2,1,16.38,0.64
21,200,2,2,16.19,0.65
22,200,5,1,16.61,0.63
23,200,5,2,16.45,0.64
24,50,2,1,16.49,0.55
25,50,2,2,16.01,0.57
26,50,5,1,16.18,0.57
27,50,5,2,16.23,0.55
28,100,2,1,16.1,0.57
29,100,2,2,15.9,0.59
30,100,5,1,16.13,0.57
31,100,5,2,16.1,0.58
32,200,2,1,16.14,0.58
33,200,2,2,15.96,0.58
34,200,5,1,16.07,0.58
35,200,5,2,15.78,0.58
36,50,2,1,17.16,0.66
37,50,2,2,16.51,0.62
38,50,5,1,16.88,0.65
39,50,5,2,16.69,0.62
40,100,2,1,16.77,0.66
41,100,2,2,16.67,0.62
42,100,5,1,16.83,0.65
43,100,5,2,16.62,0.63
44,200,2,1,17.1,0.63
45,200,2,2,16.65,0.62
46,200,5,1,16.86,0.64
47,200,5,2,16.72,0.63
48,50,2,1,16.68,0.59
49,50,2,2,16.07,0.6
50,50,5,1,16.17,0.59
51,50,5,2,16.31,0.58
52,100,2,1,16.5,0.59
53,100,2,2,16.07,0.6
54,100,5,1,16.21,0.6
55,100,5,2,15.98,0.61
56,200,2,1,16.44,0.59
57,200,2,2,16.05,0.6
58,200,5,1,16.2,0.59
59,200,5,2,16.09,0.6
