County,Population,,,, 
Blekinge County,159606,,,,
Jamtland County,130810,,,,
Norrbotten County,250093,,,,
Södermanland County,297540,,,,
Västerbotten County,271736,,,,
Dalarna County,287966,,,,
Jonkoping County,363599,,,,
 Örebro County,304805,,,,
 Stockholm County,2377081,,,,
Västernorrland County,245347,,,,
Gavleborg County,287382,,,,
Kalmar County,245446,,,,
 Östergötland County,465495,,,,
Uppsala County,383713,,,,
 Västmanland County,275845,,,,
Gotland County,59686,,,,
Kronoberg County,201469,,,,
Skåne County,1377827,,,,
 Varmland County,282414,,,,
Västra Götaland County,1725881,,,,
Halland County,333848,,,,
