,np_date,short_date
0,2020-01-27,27 Jan
1,2020-01-28,28 Jan
2,2020-01-29,29 Jan
3,2020-01-30,30 Jan
4,2020-01-31,31 Jan
5,2020-02-01,1 Feb
6,2020-02-02,2 Feb
7,2020-02-03,3 Feb
8,2020-02-04,4 Feb
9,2020-02-05,5 Feb
10,2020-02-06,6 Feb
11,2020-02-07,7 Feb
12,2020-02-08,8 Feb
13,2020-02-09,9 Feb
14,2020-02-10,10 Feb
15,2020-02-11,11 Feb
16,2020-02-12,12 Feb
17,2020-02-13,13 Feb
18,2020-02-14,14 Feb
19,2020-02-15,15 Feb
20,2020-02-16,16 Feb
21,2020-02-17,17 Feb
22,2020-02-18,18 Feb
23,2020-02-19,19 Feb
24,2020-02-20,20 Feb
25,2020-02-21,21 Feb
26,2020-02-22,22 Feb
27,2020-02-23,23 Feb
28,2020-02-24,24 Feb
29,2020-02-25,25 Feb
30,2020-02-26,26 Feb
31,2020-02-27,27 Feb
32,2020-02-28,28 Feb
33,2020-02-29,29 Feb
34,2020-03-01,1 Mar
35,2020-03-02,2 Mar
36,2020-03-03,3 Mar
37,2020-03-04,4 Mar
38,2020-03-05,5 Mar
39,2020-03-06,6 Mar
40,2020-03-07,7 Mar
41,2020-03-08,8 Mar
42,2020-03-09,9 Mar
43,2020-03-10,10 Mar
44,2020-03-11,11 Mar
45,2020-03-12,12 Mar
46,2020-03-13,13 Mar
47,2020-03-14,14 Mar
48,2020-03-15,15 Mar
49,2020-03-16,16 Mar
50,2020-03-17,17 Mar
51,2020-03-18,18 Mar
52,2020-03-19,19 Mar
53,2020-03-20,20 Mar
54,2020-03-21,21 Mar
55,2020-03-22,22 Mar
56,2020-03-23,23 Mar
57,2020-03-24,24 Mar
58,2020-03-25,25 Mar
59,2020-03-26,26 Mar
60,2020-03-27,27 Mar
61,2020-03-28,28 Mar
62,2020-03-29,29 Mar
63,2020-03-30,30 Mar
64,2020-03-31,31 Mar
65,2020-04-01,1 Apr
66,2020-04-02,2 Apr
67,2020-04-03,3 Apr
68,2020-04-04,4 Apr
69,2020-04-05,5 Apr
70,2020-04-06,6 Apr
71,2020-04-07,7 Apr
72,2020-04-08,8 Apr
73,2020-04-09,9 Apr
74,2020-04-10,10 Apr
75,2020-04-11,11 Apr
76,2020-04-12,12 Apr
77,2020-04-13,13 Apr
78,2020-04-14,14 Apr
79,2020-04-15,15 Apr
80,2020-04-16,16 Apr
81,2020-04-17,17 Apr
82,2020-04-18,18 Apr
83,2020-04-19,19 Apr
84,2020-04-20,20 Apr
85,2020-04-21,21 Apr
86,2020-04-22,22 Apr
87,2020-04-23,23 Apr
88,2020-04-24,24 Apr
89,2020-04-25,25 Apr
90,2020-04-26,26 Apr
91,2020-04-27,27 Apr
92,2020-04-28,28 Apr
93,2020-04-29,29 Apr
94,2020-04-30,30 Apr
95,2020-05-01,1 May
96,2020-05-02,2 May
97,2020-05-03,3 May
98,2020-05-04,4 May
99,2020-05-05,5 May
100,2020-05-06,6 May
101,2020-05-07,7 May
102,2020-05-08,8 May
103,2020-05-09,9 May
104,2020-05-10,10 May
105,2020-05-11,11 May
106,2020-05-12,12 May
107,2020-05-13,13 May
108,2020-05-14,14 May
109,2020-05-15,15 May
110,2020-05-16,16 May
111,2020-05-17,17 May
112,2020-05-18,18 May
113,2020-05-19,19 May
114,2020-05-20,20 May
115,2020-05-21,21 May
